index,content
1375,pierre berge cofounded yves saint laurent fashion house diesparis reuters french businessman art patron pierre berge cofounded yves saint laurent fashion house died age 86 following long illness foundation said friday berge partner late designer yves saint laurent founded label 1961 died friday home saintremydeprovence southern france berge ran yves saint laurent house 2002 passionate art collector opera lover socialist president fran ois mitterrand charge newlybuilt bastille opera paris 1988 pierre berge true prince art culture culture minister jack lang said 1994 berge longtime campaigner gay right created sidaction fundraising organization dedicated aid research treatment founder french weekly courrier international gay magazine tetu chairman supervisory board le monde newspaper main shareholder berge inaugurate museum dedicated yves saint laurent paris marrakech autumn
1430,yrc worldwide limited operation florida terminalsreuters yrc worldwide resumed limited operation florida terminal fort pierce miami tampa west palm beach closed earlier thursday hurricane irma terminal guaynabo puerto rico remains closed company said
1447,yrc worldwide close florida terminal hurricanereuters yrc worldwide said thursday closed terminal florida locality fort pierce miami tampa west palm beach hurricane irma
1557,german antiimmigrant candidate walk tv debateberlin reuters candidate antiimmigrant alternative germany afd party month s election walked live television debate tuesday night accused failing distance rightwingers rightwing afd gained support slamming chancellor angela merkel s 2015 decision open border refugee set enter national parliament time sept 24 election poll 711 percent alice weidel 38 collected paper rushed public broadcaster zdf s studio debate germany s major party andreas scheuer member merkel s conservative bloc said distance farright figure afd scheuer said alexander gauland afd s candidate radical rightwinger gauland described bjoern hoecke january called 180 degree turnaround way germany seek atone nazi crime soul afd weidel style economic expert critic euro gradually shifted right chosen party s chancellor candidate april called hoecke expelled party statement published shortly exit weidel accused zdf moderator marietta slomka biased unprofessional m slomka shouldn t act personal animosity television show wrote afd want abolish license fee finance germany s public broadcaster weidel s statement ended comment slomka s behavior reason refuse pay license fee did mention dispute scheuer preceding fiery discussion immigration medium speculated weidel s exit set up stern magazine s editor chief andreas petzold writing twitter alice weidel s dramatically staged exit certainly spontaneous afd cultivates role victim
1736,taiwan appoints new premier drive reform effortstaipei reuters taiwan appointed premier william lai mayor southern city tainan president tsai ingwen said tuesday moved shore declining public support reshuffle replace premier anticipated month tsai s approval rating dropped 30 percent august private foundation survey showed nearly 70 percent soon 2016 inauguration clear direction reform tsai told news briefing premier lai lead administrative team iron problem forward lai s appointment come day resignation lin chuan premier tsai took office 2016 frozen tie china massive power outage tech hub apple global firm backlash pension reform revised labor rule controversy pressure tsai replace lin prepares 2020 reelection campaign lai harvard graduate lawmaker consecutive term whip tsai s democratic progressive party dpp caucus 2010 mayor tainan home plant taiwan semiconductor manufacturing tsmc technology firm ll redouble effort reform transform benefit people taiwan lai said however lai s premiership necessarily help president improve rating analyst said
1830,german spd leader say eu stop accession talk turkeyberlin reuters germany s social democrat spd leader martin schulz told television debate chancellor angela merkel stop turkey s bid join european union elected leader europe s populous country m chancellor ll cancel accession talk turkey european union schulz said debate german citizen travel safely turkey anymore schulz said referring detention 12 german citizen political charge past month chancellor task tell turkey order protect federal republic germany red line crossed country longer member eu schulz said merkel repeated standard position favour stopping discussion ankara participation eu custom union cautioned pulling plug turkey s accession talk right now adding step considered cautiously
1863,saudi king say kingdom progress tackling terrorismmecca saudi arabia reuters saudi king salman receiving dignitary attending annual muslim haj pilgrimage said saturday kingdom progress eradicating terrorism aimed attacking holy site state news agency spa reported saudi arabia stake reputation guardianship islam s holiest site organizing haj hit bombing recent year uncovered plot carry attack mecca limb terrorism sought harm holy city paying attention sanctity spa quoted king salman telling foreign dignitary reception held mecca 2 million pilgrim performing haj kingdom grace god cooperation sister friend big success eradicating terrorism worked decisively determination dry source added elaborating salman said saudi arabia devoted material human resource ensure safety pilgrim come world perform fiveday ritual religious duty undertaken lifetime ablebodied muslim afford journey determined god s permission continue provide highest level service holy mosque ensure safety seek sacred house god said pilgrimage frequently hit stampede fire recent incident hundred pilgrim killed crush year ago
1867,prayer sacrifice pakistani muslim celebrate eid aladhakarachi pakistan reuters muslim pakistan crowded mosque prayer ground country offer prayer sacrifice goat cow eid aladha holiday saturday marking second major religious festival islam security tight authority guard possible attack religious extremist carried bombing country recent year today offer eid prayer said worshipper saleem ahmed ceremony karachi pakistan s largest city security arrangement good allah approve prayer eid aladha commemorates koranic tale prophet abraham s willingness sacrifice son act obedience allah allah replaced son ram sacrificed instead similar story involving abraham recounted holy book judaism christianity tradition afford sacrifice domestic animal symbol abraham s willingness sacrifice son result booming preholiday trade goat cow sheep pakistan alone nearly 10 million animal worth 3 billion slaughtered day eid aladha according pakistan tanner association presenting sacrifice follow path prophet abraham forget poor needy muslim brother occasion karachi resident mohamad muzammil said prayer ground cow goat slaughtered eid aladha mark end annual hajj pilgrimage mecca pillar islam undertaken muslim afford so population 208 million people pakistan sixth mostpopulous country world second largest muslim population indonesia 97 percent pakistani muslim
1893,loreal sack transgender model comment white peopleparis reuters french cosmetic giant l oreal sacked transgender model appear british advertising campaign described white people racist facebook londonbased model munroe bergdorf announced facebook page august 27 french cosmetic brand s new advertising campaign celebrating diversity online message later appeared friday deleted bergdorf said according daily mail newspaper honestly don t energy talk racial violence white people more yes white people l oreal s uk unit said twitter page decided terminate contract l oreal champion diversity comment munroe bergdorf odds value decided end partnership her post page friday bergdorf criticized daily mail article sought defend comment said reaction violence white supremacist charlottesville united state stated white people racist addressing fact western society whole rooted white supremacy designed benefit prioritize protect white people race said
2044,yemeni air strike little girl family survivorsanaa reuters bruised eye swollen shut buthaina muhammad mansour believed five doesn t know parent sibling uncle killed air strike flattened home yemen s capital despite concussion skull fracture doctor think buthaina pull family s sole survivor aug 25 attack apartment building resident blame saudiled coalition fighting yemen 2015 alliance said statement investigate air strike killed 12 civilian yemen s long war involving competing yemeni faction regional power struggle killed 10000 people million forced leave home face disease hunger aid agency called speedy resolution conflict warning impoverished country victim world s greatest manmade humanitarian disaster lying disoriented hospital bed saturday buthaina called uncle mounir killed attack uncle saleh muhammad saad told reuters mounir rushed family s house buthaina s father called 2 am say war plane bombing neighborhood sanaa s faj attan district returned time saleh got house ruin broken concrete block wooden plank hearing survivor groaning beneath rubble battled free them hear shout neighbor rubble tried remove rubble buthaina s father wife couldn t died said lifted rubble saw brother ammar three sister dead paused little just screamed pain pulled together got heard buthaina calling said survival given solace mourned rest family sister raghad used come hug kiss visited used say her come on s enough say oh isn t just hugging kissing
2114,trump respected u president say germany merkelberlin reuters chancellor angela merkel said wednesday donald trump shown appropriate respect holding office u president differ policy issue merkel campaigning fourth term office sept 24 national election refused bend pressure social democrat spd rival resist demand trump nato member increase defense spending committed atlanticist stressed strength german relation united state flagging difference opinion policy president united state difference opinion be know prevailed tough election wasn t reserved silver platter told business daily handelsblatt interview end won election american electoral law mean democratically elected person shown appropriate respect regardless ass view added spd challenger martin schulz far critical trump referring u president irresponsible man white house merkel enjoyed holidaying united state chancellor 2005 said missed opportunity vacation now t holiday san diego chancellor time difference much miss bit work marvelous afford miss it
